Hypotheses # and name,Hypotheses,BMC Block,Value Map,Customer Profile,CS.#,Date of Hypotheses,Which interviews supported the hypotheses?,# of Yes,Which interviews rejected the hypotheses?,# of No,# of Total Interviews,Accept or Reject Hypotheses,Early Adopter,Field 15,Field 16,Which interviews rejected the hypotheses? copy
CS.1 - Manufacturers Need Certified Local Suppliers ,"Manufacturers (aerospace, medical devices, automotive) struggle to find certified local 3D printing facilities within their region, resulting in weeks of sourcing time and high shipping costs.",Customer Segment,,Customer Job,CS.1,2026-1-19,"37, Interview 5 - Sean Morgan (Atlantic XL), Interview 13 - Lee Vessey (Thales), Interview 16 - Harvey Doane (Space)",4,,0,4,Supported,Procurement Managers at mid-size manufacturers (100-1000 employees) who order 3D printed parts monthly and are frustrated with current 3-week sourcing cycles. ,,,
CS.2 - Facilities Have Idle Capacity,3D printing service bureaus and contract manufacturers have 30-40% idle machine capacity and struggle with expensive customer acquisition ($5-10K per client),Customer Segment,,Customer Job,CS.2,2026-1-19,"37, Interview 5 - Sean Morgan (Atlantic XL)",2,,0,2,Supported,Owners/operators of small-medium 3D printing facilities (5-20 machines) who are actively seeking new clients and willing to pay commission for qualified leads.,,,
CS.3 - Labs & Authorities Need Digital Compliance System,"Certification labs and regulatory authorities spend 60%+ of their time on manual administrative tasks (paper-based requests, manual tracking) and lack centralized visibility into certifications across the industry.",Customer Segment,,Customer Job,CS.3,2026-1-19,"37,38, Interview 5 - Sean Morgan (Atlantic XL), Interview 9 - Mark Kirby (UWaterloo MSAM)",4,,0,4,Supported,Quality managers at mid-size testing labs and forward-thinking compliance officers at regulatory bodies who are frustrated with manual processes and want better oversight tools.,,,
CS.4 - OEMs Want Distributed Manufacturing,"OEMs want to enable distributed 3D printing manufacturing to scale production but are blocked by concerns about quality control, IP protection, and lack of standardized processes.",Customer Segment,,Customer Job,CS.4,2026-1-19,"Interview 5 - Sean Morgan (Atlantic XL), Interview 14 - Nicole Rathie (NGen)",2,37.0,1,3,Partially Supported,Engineering managers at industrial equipment OEMs who have explored distributed manufacturing but haven't implemented due to quality/IP concerns.,,,37.0
CJ.1 - Source Certified Parts Quickly,Manufacturers have a functional job-to-be-done: source certified 3D printed parts for production/prototyping within 1-2 weeks maximum. Current process takes 3-4 weeks.,Customer Segment,,Customer Job,CS.1,2026-1-19,"37, Interview 13 - Lee Vessey (Thales), Interview 18 - Chris (OMV)",3,,0,3,Supported,Procurement managers with monthly part orders,,,
CJ.2 - Fill Machine Capacity,"3D printing facilities have a functional job: fill idle machine capacity (currently 30-40% idle) with qualified, paying clients to maximize revenue per machine",Customer Segment,,Customer Job,CS.2,2026-1-19,"37, Interview 5 - Sean Morgan (Atlantic XL)",2,,0,2,Supported,Facility operators with <70% utilization,,,
CJ.3 - Process Certifications Efficiently,Certification labs and regulatory authorities have a functional job: process certification requests and track compliance efficiently while minimizing administrative burden and maintaining oversight.,Customer Segment,,Customer Job,CS.3,2026-1-19,"37,38, Interview 5 - Sean Morgan (Atlantic XL)",3,,0,3,Supported,Quality managers handling 50+ requests/month and compliance officers tracking 100+ facilities,,,
CJ.4 - Enable Distributed Manufacturing,OEMs have a functional job: enable local/regional manufacturing of their parts through certified 3D printing facilities while maintaining quality control and IP protection.,Customer Segment,,Customer Job,CS.4,2026-1-19,"37, Interview 5 - Sean Morgan (Atlantic XL), Interview 14 - Nicole Rathie (NGen)",3,,0,3,Supported,Engineering managers at OEMs with distributed customer base,,,
CP.1 - Weeks Wasted Finding Facilities,"Manufacturers waste 3+ weeks and $75K+ annually in employee time searching for and vetting certified 3D printing facilities through manual Google searches, cold calls, and reference checks.",Customer Segment,,Customer Pains,CS.1,2026-1-19,37,1,,0,1,Insufficient Data,Procurement teams without established supplier networks,,,
CP.2 - Expensive Distant Suppliers,Manufacturers pay 40-60% more in shipping costs and experience 2-3 week longer lead times when using distant 3D printing suppliers instead of local options.,Customer Segment,,Customer Pains,CS.1,2026-1-19,"37, Interview 5 - Sean Morgan (Atlantic XL), Interview 17 - Jean-Michel Fortin (Agnico Eagle)",3,,0,3,Supported,Manufacturers ordering heavy/large 3D printed parts,,,
CP.3 - Certification Proof Difficulty,"Manufacturers struggle to verify and prove that 3D printed parts meet regulatory requirements (ISO, FDA, FAA), creating audit risk and production delays.",Customer Segment,,Customer Pains,CS.1,2026-1-19,"37, Interview 5 - Sean Morgan (Atlantic XL), Interview 9 - Mark Kirby, Interview 15/18 - OMV Austria",5,,0,5,Strongly Supported,Manufacturers in highly regulated industries (aerospace/medical/O&G),,,
CP.4 - Machines Sitting Empty,3D printing facilities lose $100K-$300K annually in potential revenue due to 30-40% idle machine capacity that could be filled with additional client work.,Customer Segment,,Customer Pains,CS.2,2026-1-19,Interview 5 - Sean Morgan (Atlantic XL),1,,0,1,Insufficient Data,Facilities with recent capex in new machines,,,37.0
CP.5 - High CAC Kills Margins,"3D printing facilities spend $5-10K per new client acquisition through trade shows, sales calls, and marketing, making small-value clients unprofitable.",Customer Segment,,Customer Pains,CS.2,2026-1-19,37,1,,0,1,Insufficient Data,Facilities with limited marketing budget,,,
CP.6 - Paper-Based Chaos,"ertification labs spend 60% of staff time on manual administrative tasks (email requests, paper forms, manual scheduling) instead of actual testing work.",Customer Segment,,Customer Pains,CS.3,2026-1-19,"37,38, Interview 5 - Sean Morgan (Atlantic XL)",3,,0,3,Supported,Labs experiencing growth/backlog,,,
CP.7 - Reactive Enforcement Only,"Regulatory authorities lack centralized systems to proactively track 3D printing certifications across their jurisdiction, forcing them to rely on reactive enforcement after problems occur.",Customer Segment,,Customer Pains,CS.3,2026-1-19,"38, Interview 5 - Sean Morgan (Atlantic XL)",2,,0,3,Supported,Compliance officers frustrated with manual tracking and blind spots,,,37.0
CP.8 - Can't Trust Distributed Mfg,"OEMs struggle to maintain quality control and protect IP when using multiple distributed 3D printing facilities, leading them to avoid distributed manufacturing entirely.",Customer Segment,,Customer Pains,CS.4,2026-1-19,"Interview 14 - Nicole Rathie (NGen - Select AM model validates IP concern)",1,37.0,1,2,Partially Supported,OEMs with quality control concerns blocking distributed production,,,37.0
CG.1 - Find Facilities in Minutes,"Manufacturers would gain significant value from finding certified local 3D printing facilities in minutes instead of weeks, reducing sourcing time by 90%+.",Customer Segment,,Customer Gains,CS.1,2026-1-19,37,1,,0,1,Insufficient Data,Time-sensitive manufacturers with frequent orders,,,
CG.2 - Cut Shipping 40-60%,anufacturers would gain 40-60% shipping cost reduction and 1-2 weeks faster delivery by using local 3D printing facilities instead of distant suppliers.,Customer Segment,,Customer Gains,CS.1,2026-1-19,"37, Interview 5 - Sean Morgan (Atlantic XL)",2,,0,2,Supported,Manufacturers with high shipping costs,,,
CG.3 - Instant Proof of Compliance,Manufacturers would gain peace of mind and audit readiness from having instant access to certification proof and compliance documentation for all 3D printed parts. ,Customer Segment,,Customer Gains,CS.1,2026-1-19,Interview 5 - Sean Morgan (Atlantic XL),1,,0,1,Insufficient Data,Manufacturers in regulated industries facing audits,,,37.0
CG.4 - Maximize Machine Revenue,3D printing facilities would gain $100K-$300K additional annual revenue by filling their 30-40% idle capacity with qualified client work from the platform.,Customer Segment,,Customer Gains,CS.2,2026-1-19,37,1,,0,1,Insufficient Data,Facilities with recent equipment investment,,,
CG.5 - Reduce CAC by 50%+,3D printing facilities would gain 50%+ reduction in customer acquisition costs (from $5-10K to <$3K via commission) by receiving qualified leads through the platform.,Customer Segment,,Customer Gains,CS.2,2026-1-19,"37, Interview 5 - Sean Morgan (Atlantic XL)",2,,0,2,Supported,Facilities struggling with sales/marketing,,,
CG.6 - 60% Less Admin Time,"Certification labs would gain 60% reduction in administrative time, allowing them to focus on actual testing work and increase throughput by 40%+",Customer Segment,,Customer Gains,CS.3,2026-1-19,"38, Interview 5 - Sean Morgan (Atlantic XL)",2,,0,3,Supported,Labs with backlogs and growth targets,,,37.0
CG.7 - Real-Time Compliance Visibility,"Regulatory authorities would gain real-time visibility into all certifications and compliance status across their jurisdiction, enabling proactive oversight instead of reactive enforcement.",Customer Segment,,Customer Gains,CS.3,2026-1-19,38,1,,0,2,Partially Supported,Forward-thinking compliance officers seeking better oversight tools,,,37.0
G.8 - Distributed Mfg with Quality Assurance,OEMs would gain the ability to scale production through distributed 3D printing facilities while maintaining quality control and IP protection through standardized processes and monitoring.,Customer Segment,,Customer Gains,CS.4,2026-1-19,,0,,0,0,Insufficient Data,OEMs with regional customer base seeking faster delivery,,,37.0
VP.1 - Find Facilities in Minutes,"A searchable database of pre-vetted, certified 3D printing facilities (filterable by location, certification, capabilities) would enable manufacturers to find qualified suppliers in minutes instead of weeks.",Value Proposition,Product/Service,,CS.1,2026-1-19,37,1,,0,1,Insufficient Data,Procurement managers with urgent part needs,,,
VP.2 - Prioritize Nearby Facilities,An algorithm that prioritizes local/regional 3D printing facilities (within 100-500 miles) would reduce shipping costs by 40-60% and lead times by 1-2 weeks for manufacturers.,Value Proposition,Pain Relievers,,CS.1,2026-1-19,Interview 5 - Sean Morgan (Atlantic XL),1,,0,1,Insufficient Data,Manufacturers ordering heavy/bulky parts,,,37.0
VP.3 - One-Click Compliance Proof,"Integrated certification tracking that provides instant proof of compliance (ISO, FDA, FAA certifications) would eliminate audit risk and save manufacturers weeks of documentation gathering.",Value Proposition,Gain Creators,,CS.1,2026-1-19,,0,,0,0,Insufficient Data,Manufacturers in heavily regulated industries,,,37.0
VP.4 - Qualified Client Pipeline,A marketplace that brings pre-qualified client leads to 3D printing facilities would increase capacity utilization and reduce customer acquisition costs from $5-10K to <$3K (via 10-15% commission).,Value Proposition,Product/Service,,CS.2,2026-1-19,37,1,,0,1,Insufficient Data,Facilities with <70% utilization,,,
VP.5 - Build Credibility with Badges,A verified certification badge system (integrated with labs) would help 3D printing facilities prove credentials to new clients and win more business.,Value Proposition,Gain Creators,,CS.2,2026-1-19,Interview 5 - Sean Morgan (Atlantic XL),1,,0,1,Insufficient Data,Facilities with certifications but struggling to prove them,,,37.0
VP.6 - Reduce Admin Time 60%,"A digital certification workflow (online requests, automated scheduling, digital reporting) would reduce labs' administrative time by 60%, allowing them to focus on actual testing work.",Value Proposition,Pain Relievers,,CS.3,2026-1-19,,0,,0,2,Insufficient Data,Labs experiencing growth/backlog,,,
VP.7 - Real-Time Compliance Tracking,A centralized compliance dashboard that aggregates all certification data would enable regulatory authorities to monitor industry compliance in real-time and identify non-compliant facilities proactively.,Value Proposition,Product/Service,,CS.3,2026-1-19,,0,,0,2,Insufficient Data,Compliance officers seeking better visibility,,,
P.8 - Standardized Quality Across Facilities,A platform that standardizes quality requirements and provides secure design file sharing would enable OEMs to scale distributed 3D printing manufacturing while maintaining quality control and IP protection.,Value Proposition,Product/Service,,CS.4,2026-1-19,,0,,0,0,Insufficient Data,OEMs with distributed customer base,,,
RS.1 - 10-15% Commission Acceptable,3D printing facilities will pay 10-15% commission on jobs received through the platform because it's cheaper than their current $5-10K customer acquisition cost.,Revenue Streams,,,CS.2,2026-1-19,,0,,0,0,Insufficient Data,Facilities with high current CAC,,,
RS.2 - $5K-$25K Annual Subscription,"Manufacturers will pay $5K-$25K annually for premium features (priority matching, expedited certification, analytics) after experiencing value from freemium basic access.",Revenue Streams,,,CS.1,2026-1-19,,0,,0,0,Insufficient Data,High-frequency manufacturers (monthly orders),,,
RS.3 - Labs Pay $10K-$50K Annually,"Certification labs will pay $10K-$50K annually to be listed as ""verified partners"" on the platform because it brings them more business and streamlines their workflow.",Revenue Streams,,,CS.3,2026-1-19,,0,,0,0,Insufficient Data,Labs seeking to modernize and grow,,,
RS.4 - OEMs Pay $50K-$150K Annually,OEMs will pay $50K-$150K annually for enterprise distributed manufacturing management dashboard because it enables them to scale production while maintaining quality control.,Revenue Streams,,,CS.4,2026-1-19,,0,,0,0,Insufficient Data,OEMs with urgent distributed manufacturing needs,,,
CH.1 - RAPID + Formnext Drive Leads,"Attending industry conferences (RAPID + TCT, Formnext, AMUG) will generate 50+ qualified leads per event from clients, facilities, and labs. ",Channels,,,"CS.1,CS.2,CS.3",2026-1-19,,0,,0,0,Insufficient Data,Conference attendees actively seeking solutions ,,,
H.2 - Thought Leadership Generates Inbound,Publishing whitepapers and case studies on LinkedIn about certified local 3D printing will generate 20-30 inbound leads per month from procurement managers and facility operators.,Channels,,,"CS.1,CS.2",2026-1-19,,0,,0,0,Insufficient Data,Active LinkedIn users researching solutions,,,
VP.9 - Real-Time Communication Platform,"A real-time, transparent communication platform (messaging, status updates, document sharing) would reduce project delays by 30-50% and is valued more than any other single feature across all customer segments.",Value Proposition,Product/Service,,"CS.1,CS.2,CS.3,CS.4",2026-1-23,37,1,,0,1,Insufficient Data,Companies experiencing communication delays causing project timeline impacts (10+ person teams with external partners),,,
VP.10 - Demand Forecasting & Pipeline Visibility,Demand forecasting and pipeline visibility tools would enable 2-4 week advance planning (vs. current 1 week reactive planning) and increase capacity utilization by 15-25% for both manufacturers and facilities.,Value Proposition,Gain Creators,,"CS.1,CS.2,CS.3",2026-1-23,"37, Interview 3 - David Waldbillig (InnoTech Alberta), Interview 5 - Sean Morgan (Atlantic XL)",3,,0,3,Supported,Facilities with variable demand and manufacturers with unpredictable sourcing needs,,,
KR.1 - IoT/AI Quality System Integration,"Platform must integrate with existing IoT/AI quality systems (vision detection, sensors, ML models) via API to be attractive to advanced manufacturers. Integration capability is table stakes, not competitive advantage.",Key Resources,,,"CS.2,CS.4",2026-1-23,"37, Interview 5 - Sean Morgan (Atlantic XL), Interview 15/18 - OMV Austria (AI should be fully AI-based)",4,,0,4,Strongly Supported,Technology-forward manufacturers already investing in Industry 4.0,,,
CG.9 - Scaling Playbooks and Benchmarks,"Manufacturers scaling production gain significant value from adaptive planning tools, peer benchmarking data, and scaling playbooks that acknowledge non-linear growth challenges (vs. simple linear capacity calculators).",Customer Segment,Gain Creators,,"CS.2,CS.4",2026-1-23,37,1,,0,1,Insufficient Data,Facilities and OEMs currently scaling production (2-5x growth target),,,
VP.11 - Quality-Over-Quantity Matching Algorithm,"A matching algorithm optimized for precision (technical fit, budget alignment, timeline compatibility, certification match) rather than recall is 3x more valuable than a large database with poor filtering. Showing fewer, better matches increases conversion by 40%+.",Value Proposition,Product/Service,,"CS.1,CS.2",2026-1-23,37,1,,0,1,Insufficient Data,Procurement managers and facility operators who waste time on unqualified leads,,,
VP.12 - Certification Body Decision Support,"A decision support tool for selecting the appropriate certification body (based on product type, target market, customer requirements, timeline, cost) could save manufacturers $50K+ in wasted certifications and 2-4 months per product launch.",Value Proposition,Pain Relievers,,"CS.1,CS.3",2026-1-23,"37, Interview 5 - Sean Morgan (Atlantic XL), Interview 9 - Mark Kirby (certification is the adoption gatekeeper)",3,,0,3,Supported,Manufacturers launching new products requiring certification in multiple markets,,,
VP.13 - Multi-Role Collaboration Workspaces,"Platform must address INTERNAL team collaboration (engineering, procurement, quality, supply chain) not just buyer-supplier communication. Multi-role workspaces with role-based permissions reduce internal communication delays by 40%.",Value Proposition,Pain Relievers,,"CS.1,CS.2,CS.3",2026-1-23,"37, Interview 3 - David Waldbillig (InnoTech Alberta)",2,,0,2,Insufficient Data,Mid-size companies (50-500 employees) with cross-functional teams involved in sourcing decisions,,,
VP.14 - Transparent Pricing/Budget Pre-Qualification,Displaying transparent pricing (or price ranges) upfront and enabling budget-based filtering would reduce time wasted on budget misalignment by 40% and improve lead-to-quote conversion by 25%.,Value Proposition,Pain Relievers,,"CS.1,CS.2",2026-1-23,"37, Interview 5 - Sean Morgan (Atlantic XL)",2,,0,2,Supported,Facilities and manufacturers frustrated with budget misalignment causing wasted sales cycles,,,
NH.1 - Post-COVID Stock Depletion Creates AM Opportunity,The shift from stock-based to pre-order supply chains (post-COVID) creates market gap that AM can fill by enabling on-demand production vs 12-week pre-orders.,Customer Segment,,Customer Pains,"CS.1, CS.2",2026-02-01,Interview 5 - Sean Morgan (Atlantic XL),1,,0,1,Supported,Manufacturers and facilities dealing with post-COVID supply chain disruption,,,
NH.2 - Obsolescence is Primary AM Adoption Driver,"Parts obsolescence (no longer manufactured) drives AM adoption more than innovation/cost savings - AM becomes ONLY option, not just better option.",Customer Segment,,Customer Pains,CS.1,2026-02-01,"Interview 5 - Sean Morgan (Atlantic XL), Interview 13 - Lee Vessey (Thales - Navy obsolescence)",2,,0,2,Supported,"Offshore operators, marine industry, industrial equipment manufacturers with aging assets",,,
NH.3 - Lead Time Emergency Accelerates Adoption,"High downtime costs force companies to try AM in emergencies (despite risk aversion), which opens door to comfort and eventual regular adoption.",Customer Segment,,Customer Job,CS.1,2026-02-01,"Interview 5 - Sean Morgan (Atlantic XL), Interview 16 - Harvey Doane (temporary solutions)",2,,0,2,Supported,"Offshore operators, facility managers with critical downtime cost exposure",,,
NH.4 - Geographic Isolation Amplifies Local Manufacturing Need,"Regions with limited freight options (weather delays, single carriers, remote locations) have significantly higher pain from distant suppliers and gain more value from local AM hubs.",Customer Segment,,Customer Pains,"CS.1, CS.2",2026-02-01,"Interview 5 - Sean Morgan (Atlantic XL), Interview 17 - Jean-Michel Fortin (Arctic mining)",2,,0,2,Supported,"Newfoundland, remote mining sites, offshore platforms, northern communities, isolated industrial facilities",,,
NH.5 - Predictive Maintenance + Digital Inventory Integration,Pairing condition monitoring/predictive maintenance with digital inventory enables proactive AM part ordering before failure (vs reactive emergency ordering).,Value Proposition,,Gain Creators,"CS.1, CS.2, CS.3",2026-02-01,"Interview 5 - Sean Morgan (Atlantic XL), Interview 15/18 - OMV Austria (AI fully AI-based inventory)",3,,0,3,Supported,Facilities with IoT sensor infrastructure and AI/ML predictive maintenance initiatives,,,
NH.6 - AM Adoption Evolution: Emergency → Comfort → Innovation,"AM adoption follows predictable 3-phase evolution: (1) emergency use only, (2) success builds comfort for regular use, (3) exploration of design innovation beyond replication.",Customer Segment,,Customer Job,"CS.1, CS.2",2026-02-01,"Interview 5 - Sean Morgan (Atlantic XL), Interview 16 - Harvey Doane (proof of concept path)",2,,0,2,Supported,Companies in Phase 1 (emergency) who can be moved to Phase 2 (regular) with platform support,,,
NH.7 - Certification is Primary Gatekeeper for Regulated Industries,"Without classification approvals and facility qualification (e.g. Lloyd's Register), AM cannot penetrate oil & gas, offshore, aerospace, or medical - certification is table stakes, not differentiator.",Key Resources,,,"CS.1, CS.2, CS.3",2026-02-01,"Interview 5 - Sean Morgan (Atlantic XL), Interview 9 - Mark Kirby, Interview 15/18 - OMV Austria, Interview 16 - Harvey Doane",5,,0,5,Strongly Supported,"Certification labs, regulatory authorities, certified facilities pursuing new markets",,,
NH.8 - Feasibility + Cost Drive AM Acceptance (Interview 6 - John Lidstone),"First consideration for AM adoption is part-specific feasibility (is AM actually cheaper than traditional?) - round parts use machining, complex/cast components better for AM. Quantity also matters.",Customer Segment,,Customer Job,"CS.1, CS.2",2026-02-01,Interview 6 - John Lidstone (Atlantic XL),1,,0,1,Supported,Engineers evaluating AM vs traditional for specific parts - need decision support tools,,,
NH.9 - Digital Inventory Reduces Lead Time from Months to Weeks,Scanning and digitizing parts for certification-ready digital inventory can reduce lead time from months to weeks when combined with AM production capability.,Value Proposition,,Gain Creators,"CS.1, CS.2, CS.3",2026-02-01,"Interview 6 - John Lidstone (Atlantic XL), Interview 13 - Lee Vessey (e-inventory vision)",2,,0,2,Supported,Companies starting to digitize product inventory and seeking certification integration,,,
NH.10 - OEM IP Release is Critical Blocker,"To produce parts via AM, OEM must relinquish IP, or IP must be proven void/expired/open. AI-based patent search could help identify open-source opportunities. Need OEM relationships.",Key Partners,,,"CS.1, CS.2, CS.4",2026-02-01,"Interview 6 - John Lidstone (Atlantic XL), Interview 14 - Nicole Rathie (IP protection is major concern), Interview 18 - Chris OMV (people hide behind IP)",3,,0,3,Supported,"OEMs open to distributed manufacturing partnerships, facilities seeking IP-cleared part libraries",,,
NH.11 - CQFA as Quebec AM Ecosystem Gateway (Interview 7 - Fanny Charreteur),"Regional AM hubs like CQFA (Carrefour québécois de la fabrication additive) provide ecosystem access, partnership opportunities, and funding expertise (Sr&ED) that can accelerate platform adoption.",Key Partners,,,"CS.2, CS.3",2026-02-01,Interview 7 - Dr. Priti Wanjara (NRC) / Fanny Charreteur (CQFA) referral,1,,0,1,Supported,"Regional AM ecosystem organizations, innovation hubs, government-backed manufacturing consortia",,,
H50 - Low-Risk Part Categorization System,Platform must provide automated risk categorization (critical vs non-critical) to help users identify parts safe for AM adoption. This is THE primary decision factor and should be MVP feature.,Value Proposition,Product/Service,,"CS.1, CS.2",2026-01-28,Interview 3 - David Waldbillig (InnoTech Alberta),1,,0,1,Supported,Engineers and procurement managers evaluating AM feasibility who need decision support for risk assessment,,,
H51 - Post-Processing Service Network Integration,"Platform must integrate post-processing services (coatings, surface finishing, heat treatment) as these are critical for energy sector and often blocking factor for AM adoption. Network of qualified service providers needed.",Key Partnerships,Gain Creators,,"CS.1, CS.2",2026-01-28,Interview 3 - David Waldbillig (InnoTech Alberta),1,,0,1,Supported,"Energy sector manufacturers requiring coatings/finishing, AM facilities seeking to offer complete solutions",,,
H52 - Reverse Engineering Service Integration,Platform should integrate reverse engineering services to scan obsolete parts and create certification-ready digital library. This transforms one-off emergency solutions into reusable assets.,Key Partnerships,Gain Creators,,"CS.1, CS.2",2026-01-28,"Interview 3 - David Waldbillig (InnoTech Alberta), Interview 13 - Lee Vessey (circuit board AM)",2,,0,2,Supported,"Companies with aging equipment and obsolete parts, reverse engineering firms seeking platform integration",,,
H53 - Predictive Maintenance API Integration,"Platform should provide API integration with predictive maintenance systems (IoT sensors, CMMS) to enable proactive part ordering before failure. This is ultimate vision combining predictive analytics with digital inventory.",Key Resources,Gain Creators,,"CS.1, CS.2, CS.3",2026-01-28,"Interview 3 - David Waldbillig (InnoTech Alberta), Interview 5 - Sean Morgan (Atlantic XL), Interview 17 - Jean-Michel Fortin (Agnico already has predictive maintenance)",3,,0,3,Supported,"Facilities with IoT infrastructure and predictive maintenance programs, Industry 4.0 early adopters",,,
NH.12 - Cost/ROI is #1 Adoption Barrier (89%),"Investment costs (89%) and ROI uncertainty (55%) are the primary barriers to AM/digital inventory adoption. Value proposition MUST lead with financial proof, not technology features.",Customer Segment,,Customer Pains,"CS.1, CS.2, CS.4",2026-02-05,"Interview 19 - Fanny Charreteur (PRIMA Québec - 89% cost barrier), Interview 15/18 - OMV Austria (15% ROI requirement)",3,,0,3,Strongly Supported,"All customer segments - particularly companies without prior AM experience, fast followers not early adopters",,,
NH.13 - Mining is Poor Fit for AM/Digital Inventory,"Mining operations (especially Arctic) have volume/seasonality dynamics that don't match AM economics - they need 1000s of identical parts, not 10s of custom parts. AM is only viable as breakdown insurance.",Customer Segment,,Customer Job,CS.1,2026-02-05,Interview 17 - Jean-Michel Fortin (Agnico Eagle Mines),1,,0,1,Validated (Negative),"EXCLUDE: Mining operations with high-volume repetitive parts needs. INCLUDE ONLY: Remote/Arctic mining for emergency breakdown scenarios",,,
NH.14 - Space Industry is AM-Native (New Space vs Old Space),"""New Space"" companies (SpaceX model) embrace AM for production, while ""Old Space"" (Boeing/Lockheed heritage) is risk-averse. Target satellite/rocket manufacturers, not launch sites.",Customer Segment,,Customer Job,"CS.1, CS.4",2026-02-05,"Interview 16 - Harvey Doane (Space Launch/Maritime Launch Services)",1,,0,1,Supported,"New Space satellite constellation manufacturers, rocket startups, not traditional aerospace primes",,,
NH.15 - Safety > Time > Cost Priority Framework,"In regulated industries (space, O&G, defense), decision priority is ALWAYS Safety first, then Time, then Cost. Cost-focused value propositions fail; mission assurance/safety-focused propositions succeed.",Value Proposition,,Gain Creators,"CS.1, CS.4",2026-02-05,"Interview 16 - Harvey Doane, Interview 18 - Chris OMV (safety is non-negotiable)",2,,0,2,Strongly Supported,"Aerospace, offshore O&G, defense, medical device manufacturers",,,
NH.16 - On-Premise Processing Required for IP Protection,"Companies will not upload design files to cloud platforms due to IP concerns. On-premise/local processing (like Select AM model) is required for adoption in IP-sensitive industries.",Value Proposition,Pain Relievers,,"CS.1, CS.4",2026-02-05,"Interview 14 - Nicole Rathie (Select AM model), Interview 18 - Chris OMV (people hide behind IP)",2,,0,2,Strongly Supported,"Defense contractors, OEMs with proprietary designs, aerospace/automotive tier 1 suppliers",,,
NH.17 - Government Anchor Tenant Solves Cold Start Problem,"Two-sided marketplace (digital inventory) needs government anchor (Canadian Defense, DND) to solve chicken-and-egg adoption problem. Government de-risks platform for commercial customers.",Key Partners,,,CS.4,2026-02-05,"Interview 14 - Nicole Rathie (NGen), Interview 13 - Lee Vessey (Canadian Navy $360K project)",2,,0,2,Supported,"Government procurement, defense contractors (Thales, L3Harris), DND/CSA programs",,,
NH.18 - AI for Stock vs Print Decision is Key Differentiator,"AI that automatically determines whether to stock physical inventory or hold digital files for on-demand printing is the core value proposition. ""Inventory management should be fully AI-based.""",Value Proposition,Product/Service,,"CS.1, CS.2, CS.4",2026-02-05,"Interview 15 - Mikhail Gladkikh (OMV), Interview 18 - Chris OMV (AI fully AI-based)",2,,0,2,Strongly Supported,"Fast follower companies with existing digital infrastructure, not technology laggards",,,
NH.19 - 15% ROI Threshold for O&G Adoption,"Oil & Gas companies require demonstrable 15% business improvement + new customer acquisition before adopting new technology. Proof from other sectors (Navy/Aerospace) is prerequisite.",Revenue Streams,,,CS.1,2026-02-05,"Interview 18 - Chris (OMV Austria), Interview 15 - Mikhail Gladkikh (OMV)",2,,0,2,Strongly Supported,"O&G fast followers (OMV, Shell, BP), not early adopter startups. Wait for aerospace/defense proof first.",,,
NH.20 - 6-Month Valve Wait is Critical Pain Point,"Specialized valves with 6+ month lead times cause massive production losses. This is specific pain point where AM/digital inventory has clear ROI and urgency.",Customer Segment,,Customer Pains,CS.1,2026-02-05,Interview 18 - Chris (OMV Austria),1,,0,1,Supported,"O&G operators, chemical plants, refineries with aging valve infrastructure",,,
NH.21 - Breakdown Insurance Positioning (Not Cost Savings),"AM should be positioned as ""breakdown insurance"" for unpredictable failures, not as cost savings for planned maintenance. This reframes AM as complementary to predictive maintenance, not competitive.",Value Proposition,,Gain Creators,"CS.1, CS.4",2026-02-05,"Interview 13 - Lee Vessey (Thales), Interview 16 - Harvey Doane, Interview 17 - Jean-Michel Fortin",3,,0,3,Strongly Supported,"Industries with critical downtime costs: offshore O&G, Navy, mining, power generation",,,
NH.22 - Sovereign Resilience is Defense Value Proposition,"For Canadian Defense applications, ""sovereign resilience"" and domestic manufacturing capability is the primary value proposition - reducing dependence on foreign supply chains.",Value Proposition,,Gain Creators,CS.4,2026-02-05,"Interview 13 - Lee Vessey (Thales/Canadian Navy)",1,,0,1,Strongly Supported,"Canadian DND, defense contractors (Thales, L3Harris), government procurement",,,
NH.23 - Digital Inventory is Not Uniquely AM (Mark Kirby Insight),"Digital inventory concept (storing files vs physical parts) is not uniquely tied to AM - traditional manufacturing can also use digital files. AM is ONE production method, not the only one.",Value Proposition,,,CS.1,2026-02-05,Interview 9 - Mark Kirby (UWaterloo MSAM),1,,0,1,Validated (Reframe),"Reposition platform as 'digital inventory + manufacturing network' not 'AM platform'. Include CNC, casting, injection molding options.",,,
NH.24 - Workforce Shortage Limits Adoption (32%),Workforce shortages (32% cite as barrier) limit ability to adopt new technology even when companies want to. Platform must reduce workforce burden through automation.,Customer Segment,,Customer Pains,"CS.1, CS.2",2026-02-05,Interview 19 - Fanny Charreteur (PRIMA Québec survey),1,,0,1,Supported,"Companies with limited technical staff, manufacturers in tight labor markets",,,
NH.25 - Only 20% Engaged with Digital Transformation,Only 20% of manufacturing companies actively engage with digital transformation programs. 80% are unaware or not ready. Market education is prerequisite to sales.,Channels,,,"CS.1, CS.2",2026-02-05,Interview 19 - Fanny Charreteur (PRIMA Québec - Digital Transformation Offensive data),1,,0,1,Strongly Supported,"Target the 20% early adopters first, not the 80% who need education",,,
